name,frequency,bench_type,num_cores,score
"","
3.2 GHz ",single_core,"
3.2 GHz ",3085
Intel Core i9-13900KF,"
3.0 GHz ",single_core,"
3.0 GHz ",2961
Intel Core i9-13900K,"
3.0 GHz ",single_core,"
3.0 GHz ",2948
AMD Ryzen 9 7950X,"
4.5 GHz ",single_core,"
4.5 GHz ",2890
AMD Ryzen 9 7950X3D,"
4.2 GHz ",single_core,"
4.2 GHz ",2872
AMD Ryzen 7 7700X,"
4.5 GHz ",single_core,"
4.5 GHz ",2867
AMD Ryzen 9 7900X,"
4.7 GHz ",single_core,"
4.7 GHz ",2866
AMD Ryzen 5 7600X,"
4.7 GHz ",single_core,"
4.7 GHz ",2813
Intel Core i7-13700K,"
3.4 GHz ",single_core,"
3.4 GHz ",2810
Intel Core i7-13700KF,"
3.4 GHz ",single_core,"
3.4 GHz ",2809
AMD Ryzen 9 7900,"
3.7 GHz ",single_core,"
3.7 GHz ",2795
AMD Ryzen 9 7900X3D,"
4.4 GHz ",single_core,"
4.4 GHz ",2791
AMD Ryzen 7 7700,"
3.8 GHz ",single_core,"
3.8 GHz ",2778
Intel Core i9-13900,"
2.0 GHz ",single_core,"
2.0 GHz ",2695
AMD Ryzen 7 7800X3D,"
4.2 GHz ",single_core,"
4.2 GHz ",2689
AMD Ryzen 9 7945HX,"
2.5 GHz ",single_core,"
2.5 GHz ",2687
AMD Ryzen 5 7600,"
3.8 GHz ",single_core,"
3.8 GHz ",2677
AMD Ryzen 9 7845HX,"
3.0 GHz ",single_core,"
3.0 GHz ",2662
Intel Core i9-12900KS,"
3.4 GHz ",single_core,"
3.4 GHz ",2659
Intel Core i5-13600K,"
3.5 GHz ",single_core,"
3.5 GHz ",2647
Intel Core i5-13600KF,"
3.5 GHz ",single_core,"
3.5 GHz ",2635
Intel Core i7-13700,"
2.1 GHz ",single_core,"
2.1 GHz ",2577
Intel Core i9-12900K,"
3.2 GHz ",single_core,"
3.2 GHz ",2560
Intel Core i9-12900KF,"
3.2 GHz ",single_core,"
3.2 GHz ",2509
Intel Core i7-12700K,"
3.6 GHz ",single_core,"
3.6 GHz ",2481
Intel Core i7-12700KF,"
3.6 GHz ",single_core,"
3.6 GHz ",2461
Intel Core i5-12600KF,"
3.7 GHz ",single_core,"
3.7 GHz ",2434
Intel Core i5-12600K,"
3.7 GHz ",single_core,"
3.7 GHz ",2398
Intel Core i5-13500,"
2.5 GHz ",single_core,"
2.5 GHz ",2382
Intel Core i5-12600,"
3.3 GHz ",single_core,"
3.3 GHz ",2377
Intel Core i9-12900,"
2.4 GHz ",single_core,"
2.4 GHz ",2370
Intel Core i5-13600,"
2.7 GHz ",single_core,"
2.7 GHz ",2369
Intel Core i7-12700F,"
2.1 GHz ",single_core,"
2.1 GHz ",2332
Intel Core i9-11900KF,"
3.5 GHz ",single_core,"
3.5 GHz ",2286
Intel Core i9-11900K,"
3.5 GHz ",single_core,"
3.5 GHz ",2284
Intel Core i9-11900F,"
2.5 GHz ",single_core,"
2.5 GHz ",2231
Intel Core i5-12500,"
3.0 GHz ",single_core,"
3.0 GHz ",2218
Intel Core i3-13100,"
3.4 GHz ",single_core,"
3.4 GHz ",2204
Intel Core i7-11700K,"
3.6 GHz ",single_core,"
3.6 GHz ",2183
Intel Core i5-12400F,"
2.5 GHz ",single_core,"
2.5 GHz ",2159
AMD Ryzen 9 5950X,"
3.4 GHz ",single_core,"
3.4 GHz ",2154
AMD Ryzen 9 5900X,"
3.7 GHz ",single_core,"
3.7 GHz ",2153
AMD Ryzen 7 5800X,"
3.8 GHz ",single_core,"
3.8 GHz ",2148
Intel Core i5-12400,"
2.5 GHz ",single_core,"
2.5 GHz ",2144
Intel Core i5-11600KF,"
3.9 GHz ",single_core,"
3.9 GHz ",2140
Intel Core i3-12100F,"
3.3 GHz ",single_core,"
3.3 GHz ",2140
Intel Core i5-11600K,"
3.9 GHz ",single_core,"
3.9 GHz ",2133
Intel Core i7-11700KF,"
3.6 GHz ",single_core,"
3.6 GHz ",2126
Intel Core i3-12100,"
3.3 GHz ",single_core,"
3.3 GHz ",2118
Intel Core i5-11600,"
2.8 GHz ",single_core,"
2.8 GHz ",2105
AMD Ryzen 7 5700X,"
3.4 GHz ",single_core,"
3.4 GHz ",2091
Intel Core i7-12700,"
2.1 GHz ",single_core,"
2.1 GHz ",2083
Intel Core i9-11900,"
2.5 GHz ",single_core,"
2.5 GHz ",2081
AMD Ryzen 7 5800X3D,"
3.4 GHz ",single_core,"
3.4 GHz ",2065
AMD Ryzen 5 5600X,"
3.7 GHz ",single_core,"
3.7 GHz ",2063
Intel Core i7-11700F,"
2.5 GHz ",single_core,"
2.5 GHz ",2057
AMD Ryzen 9 5900,"
3.0 GHz ",single_core,"
3.0 GHz ",2053
Intel Core i7-11700,"
2.5 GHz ",single_core,"
2.5 GHz ",2047
AMD Ryzen Threadripper PRO 5945WX,"
4.1 GHz ",single_core,"
4.1 GHz ",2042
AMD Ryzen Threadripper PRO 5965WX,"
3.8 GHz ",single_core,"
3.8 GHz ",2037
AMD Ryzen 7 5800,"
3.4 GHz ",single_core,"
3.4 GHz ",2024
Intel Core i9-11900T,"
1.5 GHz ",single_core,"
1.5 GHz ",2023
