cores,level,name,price,rank,sample,score,segment,threads
96,high_end,AMD EPYC 9654,"$6,690.00",1,2,"126,045",cpus,192
48,high_end,AMD EPYC 9474F,NA,2,5,"104,086",cpus,96
56,high_end,Intel Xeon w9-3495X,"$5,889.00*",3,8,"98,711",cpus,112
64,high_end,AMD Ryzen Threadripper PRO 5995WX,"$5,699.99",4,54,"98,039",cpus,128
96,high_end,AMD EPYC 9654P,NA,5,1,"94,295",cpus,192
64,high_end,AMD EPYC 7773X,"$4,999.00",6,3,"91,209",cpus,128
64,high_end,AMD EPYC 9534,NA,7,2,"88,716",cpus,128
64,high_end,AMD EPYC 7763,"$2,494.00",8,23,"85,915",cpus,128
64,high_end,AMD EPYC 7J13,NA,9,70,"85,683",cpus,128
64,high_end,AMD EPYC 7713,"$3,299.99",10,40,"83,836",cpus,128
64,high_end,AMD EPYC 7713P,"$3,850.00",11,13,"83,439",cpus,128
64,high_end,AMD Ryzen Threadripper PRO 3995WX,"$6,866.00",12,99,"83,417",cpus,128
64,high_end,AMD EPYC 7V13,NA,13,3,"82,878",cpus,128
64,high_end,AMD Ryzen Threadripper 3990X,"$4,861.00",14,195,"81,228",cpus,128
32,high_end,AMD EPYC 9354P,NA,15,4,"78,983",cpus,64
60,high_end,AMD EPYC 7B13,NA,16,2,"77,460",cpus,60
48,high_end,AMD EPYC 7643,"$4,550.00*",17,11,"76,455",cpus,96
32,high_end,AMD Ryzen Threadripper PRO 5975WX,"$2,699.99",18,85,"76,309",cpus,64
64,high_end,AMD EPYC 7T83,NA,19,1,"74,892",cpus,128
24,high_end,AMD EPYC 9274F,NA,20,1,"74,009",cpus,48
64,high_end,AMD EPYC 7662,"$3,999.99*",21,4,"73,321",cpus,128
32,high_end,AMD EPYC 7573X,"$4,962.00",22,1,"70,868",cpus,64
64,high_end,AMD EPYC 7702,"$1,013.00",23,30,"70,506",cpus,128
24,high_end,AMD EPYC 9254,NA,24,2,"70,006",cpus,48
32,high_end,AMD EPYC 75F3,"$4,999.00",25,1,"68,505",cpus,64
28,high_end,Intel Xeon w7-3465X,"$2,889.00*",26,2,"68,389",cpus,56
36,high_end,Intel Xeon w9-3475X,"$3,739.00*",27,4,"67,802",cpus,72
64,high_end,AMD EPYC 7742,"$2,098.00",28,12,"66,915",cpus,128
32,high_end,AMD EPYC 7543P,"$2,350.00*",29,23,"66,608",cpus,64
24,high_end,AMD Ryzen Threadripper PRO 5965WX,"$1,999.99",30,41,"66,539",cpus,48
48,high_end,AMD EPYC 7R32,NA,31,4,"64,727",cpus,96
16,high_end,AMD Ryzen 9 7950X,$540.99,32,2335,"63,560",cpus,32
32,high_end,AMD Ryzen Threadripper 3970X,"$2,495.00",33,859,"63,386",cpus,64
16,high_end,AMD Ryzen 9 7950X3D,$661.08,34,383,"63,148",cpus,32
32,high_end,AMD Ryzen Threadripper PRO 3975WX,"$2,997.19",35,133,"62,992",cpus,64
64,high_end,AMD EPYC 7702P,"$1,898.00",36,13,"62,670",cpus,128
